Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Sweden,Yunnan,0.026427385936202665,0.388367707354992,0.7209344462421492,0.22685870899761496,0.24023192714156916,0.46382978723404256,0.7255846476575247,0.3326429716729022,0.6186840233580284,1.0,0.2926465544173205,2.0
Switzerland,Yunnan,0.04283613528021049,0.7597837640993074,0.8917438555862842,0.22685870899761496,0.521962166459117,0.46382978723404256,0.6654106130059825,0.3326429716729022,0.6186840233580284,1.0,0.33816734705412765,1.0
Croatia,Yunnan,0.01242748847221525,0.47802871427041344,0.34159193076888705,0.22685870899761496,0.3816737092513709,0.46382978723404256,0.7154455753243727,0.3326429716729022,0.6186840233580284,1.0,0.12768008970777747,1.0
Qatar,Yunnan,0.0049742824192725394,0.2861311381023722,0.8763554662935866,0.22685870899761496,0.5297844628740936,0.46382978723404256,0.0,0.3326429716729022,0.6186840233580284,1.0,0.12768008970777747,1.0
Norway,Yunnan,0.014457751793609218,0.4124485690770461,0.9402559583947798,0.22685870899761496,0.17276155722204878,0.46382978723404256,0.6026726750058271,0.3326429716729022,0.6186840233580284,1.0,0.2643507820319545,1.0
Chile,Yunnan,0.05142983453214715,0.406715614170163,0.27953417964591726,0.22685870899761496,0.23796458018193387,0.46382978723404256,0.37992385983995025,0.3326429716729022,0.6186840233580284,1.0,0.0,1.0
South Korea,Hubei,0.33423175607983885,1.0,0.5331698099170349,0.49627314787938376,0.6411953971888407,0.4444444444444444,0.4897443866055473,0.594735435595938,0.7580918412002579,0.8111514632933411,0.7067883457241108,34.0
USA,Hubei,1.0,0.45827439098658695,0.8278612353336526,0.49627314787938376,0.28705165370378527,0.4444444444444444,0.547976070235413,0.594735435595938,0.7580918412002579,0.8111514632933411,0.5983816865969654,29.0
Australia,Hubei,0.11281820133909944,0.6681393654073763,0.769957611499269,0.49627314787938376,0.0,0.4444444444444444,0.5515111490948644,0.594735435595938,0.7580918412002579,0.8111514632933411,0.6976518094299081,16.0
Japan,Hubei,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.49627314787938376,0.5859665317401135,0.4444444444444444,1.0,0.594735435595938,0.7580918412002579,0.8111514632933411,0.7432327249192959,10.0
Singapore,Hubei,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.49627314787938376,1.0,0.4444444444444444,0.45120814233548284,0.594735435595938,0.7580918412002579,0.8111514632933411,0.7418046333919536,6.0
Canada,Hubei,0.045759069044933695,0.1844788222580294,0.715342897598073,0.49627314787938376,0.02403473083927957,0.4444444444444444,0.6090047393364929,0.594735435595938,0.7580918412002579,0.8111514632933411,0.5402629031140381,8.0
Malaysia,Hubei,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.49627314787938376,0.4166149605282221,0.4444444444444444,0.1936912438815943,0.594735435595938,0.7580918412002579,0.8111514632933411,0.7514956554582599,8.0
New Zealand,Hubei,0.023364763047792194,0.698558815613975,0.6707981581553203,0.49627314787938376,0.20151535030351075,0.4444444444444444,0.5444409913759614,0.594735435595938,0.7580918412002579,0.8111514632933411,0.5493440443327879,2.0
Germany,Hubei,0.3716060939957856,0.6910165093546327,0.6720932483747688,0.49627314787938376,0.5352983245413203,0.4444444444444444,0.7826120736539508,0.594735435595938,0.7580918412002579,0.8111514632933411,0.5677145219329103,1.0
France,Hubei,0.3770174547790903,0.9044083244430647,0.614856993720859,0.49627314787938376,0.448380101239992,0.4444444444444444,0.7152124932017715,0.594735435595938,0.7580918412002579,0.8111514632933411,0.5384045090400662,2.0
